example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.31769 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01068 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01258 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.01098 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.03131 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.01255 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.02447 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.00884 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.0091 seconds  |
./spec/features/calculations_spec.rb[10:1] | passed | 0.00789 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00569 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00569 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00509 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00493 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.01326 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00603 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01307 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01402 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.00806 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00576 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00643 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00598 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00606 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01288 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00554 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01343 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01358 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.00706 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00542 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00529 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.00549 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00571 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00502 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00482 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.0328 seconds  |
./spec/features/calculations_spec.rb[36:1] | passed | 0.00862 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.02076 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.01864 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.04004 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.01945 seconds |
./spec/features/calculations_spec.rb[41:1] | passed | 0.02167 seconds |
./spec/features/calculations_spec.rb[42:1] | passed | 0.00897 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00698 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00694 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00692 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.00591 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.0085 seconds  |
./spec/features/calculations_spec.rb[48:1] | passed | 0.01778 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.0068 seconds  |
./spec/features/calculations_spec.rb[50:1] | passed | 0.06938 seconds |
